slug,name_de,country,country_code,state_code,state,description_short_de,description_long_de,population,cafes_count,status
hamburg,Hamburg,Germany,DE,HH,Hamburg,Hamburgs Hafenstadt-Charme und kreative Räume ziehen Freiberufler an.,"Hamburg, die zweitgrößte Stadt Deutschlands, ist bekannt für ihren geschäftigen Hafen und ihr maritimes Erbe. Die lebendige Kulturszene der Stadt, mit ihren Theatern, Museen und Musikveranstaltungen, zieht Kreative und Freiberufler aus der ganzen Welt an. Die zahlreichen Cafés und Coworking-Spaces in Hamburg bieten eine förderliche Umgebung für Remote-Arbeit, während die malerischen Kanäle und Parks eine entspannende Kulisse bieten. Die Mischung aus Tradition und Innovation macht die Stadt zu einem einzigartigen Ort zum Leben und Arbeiten und bietet Möglichkeiten für Networking und Zusammenarbeit in einem dynamischen Umfeld.",1910160,9,
hannover,Hannover,Germany,DE,NI,Niedersachsen,Hannovers Messen und Grünflächen ziehen Remote-Arbeiter an.,"Hannover, bekannt für seine internationalen Messen und Grünflächen, ist eine Stadt, die Geschäft mit Freizeit verbindet. Die zahlreichen Parks und kulturellen Attraktionen der Stadt bieten eine erfrischende Umgebung für Remote-Arbeit, während die Cafés und Coworking-Spaces einen produktiven Rahmen für Fachleute bieten. Die hervorragende Verkehrsanbindung und zentrale Lage der Stadt machen sie zu einem idealen Ausgangspunkt, um Deutschland und darüber hinaus zu erkunden und bieten Möglichkeiten für Networking und Zusammenarbeit in einem dynamischen Umfeld.",548186,0,
heilbronn,Heilbronn,Germany,DE,BW,Baden-Württemberg,Heilbronn bietet eine ruhige Umgebung mit charmanten Cafés.,"Heilbronn, im Herzen der Region Baden-Württemberg gelegen, ist bekannt für seine malerischen Weinberge und die charmante Altstadt. Die ruhige Atmosphäre der Stadt und die freundliche Gemeinschaft machen sie zu einem idealen Ort für diejenigen, die eine ruhigere Arbeitsumgebung suchen. Die Cafés und lokalen Geschäfte in Heilbronn bieten einen einladenden Raum für Remote-Arbeiter, während die Nähe zur Natur Möglichkeiten zur Entspannung und Inspiration bietet. Die reiche Geschichte und das kulturelle Erbe der Stadt tragen zu ihrem Reiz bei und machen Heilbronn zu einem besonderen Ort zum Leben und Arbeiten.",130093,1,
koeln,Köln,Germany,DE,NW,Nordrhein-Westfalen,Köln bietet eine lebendige Kunstszene und gemütliche Cafés zum Arbeiten.,"Köln, bekannt für seinen beeindruckenden Dom und seine lebendige Kunstszene, ist eine Stadt, die Geschichte mit Moderne verbindet. Die lebhafte Atmosphäre der Stadt und die freundlichen Einheimischen machen sie zu einem einladenden Ort für Remote-Arbeiter. Die zahlreichen Cafés und Coworking-Spaces in Köln bieten den perfekten Rahmen für Produktivität und Kreativität. Das reiche kulturelle Erbe der Stadt, kombiniert mit ihren modernen Annehmlichkeiten, bietet eine einzigartige Umgebung für Fachleute, die ein Gleichgewicht zwischen Arbeit und Freizeit suchen. Mit ihrer zentralen Lage und hervorragenden Verkehrsanbindung ist Köln ein idealer Ausgangspunkt, um Deutschland und darüber hinaus zu erkunden.",1087353,12,
leipzig,Leipzig,Germany,DE,SN,Sachsen,Leipzigs kreative Atmosphäre und erschwingliches Leben ziehen Freiberufler an.,"Leipzig, oft als das 'neue Berlin' bezeichnet, ist bekannt für seine kreative Atmosphäre und erschwingliches Leben. Die florierende Kunstszene und das lebendige kulturelle Leben der Stadt ziehen Freiberufler und Remote-Arbeiter an, die Inspiration und Zusammenarbeit suchen. Die zahlreichen Cafés und Coworking-Spaces in Leipzig bieten einen produktiven Rahmen für die Arbeit, während die Grünflächen und die historische Architektur eine entspannende Kulisse bieten. Die zentrale Lage der Stadt und die hervorragende Verkehrsanbindung machen sie zu einem idealen Ausgangspunkt, um Deutschland und darüber hinaus zu erkunden.",619879,9,
muenchen,München,Germany,DE,BY,Bayern,"München vereint Tradition mit Innovation, ideal für arbeitsfreundliche Cafés.","München, die Hauptstadt Bayerns, ist bekannt für ihr reiches kulturelles Erbe und ihre lebendige Wirtschaft. Die Mischung aus Tradition und Innovation macht die Stadt zu einem attraktiven Ziel für Fachleute, die eine dynamische Arbeitsumgebung suchen. Die zahlreichen Cafés und Coworking-Spaces in München richten sich an Remote-Arbeiter und bieten einen produktiven Rahmen für Kreativität und Zusammenarbeit. Die hervorragende Verkehrsanbindung der Stadt und die Nähe zu den Alpen bieten Möglichkeiten zur Freizeitgestaltung und Erkundung, was München zu einem besonderen Ort zum Leben und Arbeiten macht.",1510378,12,
muenster,Münster,Germany,DE,NW,Nordrhein-Westfalen,Münsters historischer Charme und Grünflächen ziehen Remote-Arbeiter an.,"Münster, bekannt für seinen historischen Charme und seine Grünflächen, ist eine Stadt, die Tradition mit Natur verbindet. Die zahlreichen Parks und kulturellen Attraktionen der Stadt bieten eine erfrischende Umgebung für Remote-Arbeit, während die Cafés und Coworking-Spaces einen produktiven Rahmen für Fachleute bieten. Die hervorragende Verkehrsanbindung und zentrale Lage der Stadt machen sie zu einem idealen Ausgangspunkt, um Deutschland und darüber hinaus zu erkunden und bieten Möglichkeiten für Networking und Zusammenarbeit in einem dynamischen Umfeld.",322904,0,
nuernberg,Nürnberg,Germany,DE,BY,Bayern,Nürnbergs mittelalterlicher Charme und Tech-Szene bieten inspirierende Arbeitsräume.,"Nürnberg, bekannt für seinen mittelalterlichen Charme und seine florierende Tech-Szene, ist eine Stadt, die Geschichte mit Innovation verbindet. Die zahlreichen kulturellen Attraktionen und Tech-Unternehmen der Stadt ziehen Fachleute an, die Inspiration und Zusammenarbeit suchen. Die Cafés und Coworking-Spaces in Nürnberg bieten eine produktive Umgebung für Remote-Arbeit, während die historischen Wahrzeichen und Grünflächen eine entspannende Kulisse bieten. Die hervorragende Verkehrsanbindung und zentrale Lage der Stadt machen sie zu einem idealen Ausgangspunkt, um Deutschland und darüber hinaus zu erkunden.",526091,7,
stuttgart,Stuttgart,Germany,DE,BW,Baden-Württemberg,Stuttgarts Tech-Szene und Grünflächen ziehen Remote-Arbeiter an.,"Stuttgart, die Hauptstadt von Baden-Württemberg, ist bekannt für ihre florierende Automobilindustrie und innovative Tech-Szene. Die zahlreichen Parks und Grünflächen der Stadt bieten eine erfrischende Umgebung für Remote-Arbeit, während die Cafés und Coworking-Spaces einen produktiven Rahmen für Fachleute bieten. Das reiche kulturelle Erbe Stuttgarts, kombiniert mit seiner modernen Infrastruktur, schafft eine einzigartige Mischung aus Tradition und Innovation. Die hervorragende Verkehrsanbindung der Stadt und die Nähe zum Schwarzwald machen sie zu einem idealen Ort für Arbeit und Freizeit.",633484,7,
wuppertal,Wuppertal,Germany,DE,NW,Nordrhein-Westfalen,Wuppertals einzigartige Schwebebahn und Grünflächen ziehen Remote-Arbeiter an.,"Wuppertal, bekannt für seine einzigartige Schwebebahn und Grünflächen, ist eine Stadt, die Innovation mit Natur verbindet. Die zahlreichen Parks und kulturellen Attraktionen der Stadt bieten eine erfrischende Umgebung für Remote-Arbeit, während die Cafés und Coworking-Spaces einen produktiven Rahmen für Fachleute bieten. Die hervorragende Verkehrsanbindung und zentrale Lage der Stadt machen sie zu einem idealen Ausgangspunkt, um Deutschland und darüber hinaus zu erkunden und bieten Möglichkeiten für Networking und Zusammenarbeit in einem dynamischen Umfeld.",358938,0,
fuerth,Fürth,Germany,DE,BY,Bayern,"Fürth verbindet historischen Charme mit modernen Arbeitsmöglichkeiten in gemütlichen Cafés.","Fürth, die Kleeblattstadt, besticht durch ihre perfekte Mischung aus historischem Flair und modernem Stadtleben. Mit ihrer gut erhaltenen Altstadt und den zahlreichen denkmalgeschützten Gebäuden bietet die Stadt eine inspirierende Kulisse für Remote-Arbeiter. Die Nähe zu Nürnberg und die ausgezeichnete Infrastruktur machen Fürth zu einem attraktiven Standort für Kreative und Digitalnomaden. Die gemütlichen Cafés und modernen Coworking-Spaces der Stadt bieten ideale Bedingungen für produktives Arbeiten in entspannter Atmosphäre.",132032,0,NEW
wuerzburg,Würzburg,Germany,DE,BY,Bayern,"Würzburg vereint Universitätsstadt-Flair mit einladenden Arbeitsplätzen in historischer Kulisse.","Würzburg, die malerische Universitätsstadt am Main, beeindruckt durch ihre UNESCO-Weltkulturerbe Residenz und lebendige Studentenszene. Die Stadt bietet eine perfekte Mischung aus akademischer Atmosphäre und fränkischer Lebensart. Mit ihrer Vielzahl an Cafés, die sich besonders auf studentisches Arbeiten eingestellt haben, ist Würzburg ein idealer Ort für Remote-Arbeiter. Die Kombination aus historischer Architektur, modernen Arbeitsmöglichkeiten und der weltberühmten Weinkultur macht die Stadt zu einem besonderen Ort für kreatives und produktives Arbeiten.",128246,0,NEW
erlangen,Erlangen,Germany,DE,BY,Bayern,"Erlangen kombiniert Universitätsgeist mit Siemens-Innovation für optimale Arbeitsbedingungen.","Erlangen, die dynamische Universitätsstadt mit starker Technologieprägung, vereint akademische Exzellenz mit industrieller Innovation. Als Sitz der Friedrich-Alexander-Universität und wichtiger Siemens-Standort bietet die Stadt eine einzigartige Mischung aus studentischem Leben und High-Tech-Atmosphäre. Die zahlreichen Cafés und modernen Arbeitsräume sind perfekt auf die Bedürfnisse von Studierenden, Forschenden und Remote-Workern ausgerichtet. Die fahrradfreundliche Infrastruktur und die vielen Grünflächen machen Erlangen zu einem attraktiven Ort für eine ausgewogene Work-Life-Balance.",117806,0,NEW
aachen,Aachen,Germany,DE,NW,Nordrhein-Westfalen,"Aachen verbindet historisches Flair mit technologischer Innovation.","Aachen, die westlichste Großstadt Deutschlands, ist bekannt für ihre bedeutende technische Hochschule RWTH und ihre reiche Geschichte als Krönungsstadt deutscher Könige. Die Stadt bietet eine perfekte Mischung aus historischem Charme und moderner Wissenschaft. Mit ihren zahlreichen Cafés und Coworking-Spaces, die sich besonders an Studierende und junge Professionals richten, ist Aachen ein idealer Ort für Remote-Arbeit. Die Kombination aus akademischer Exzellenz, historischer Bedeutung und der Nähe zu Belgien und den Niederlanden macht die Stadt zu einem einzigartigen Arbeitsumfeld.",252769,0,NEW
augsburg,Augsburg,Germany,DE,BY,Bayern,"Augsburg vereint historisches Erbe mit modernen Arbeitsmöglichkeiten.","Augsburg, eine der ältesten Städte Deutschlands, verbindet historisches Erbe mit wirtschaftlicher Innovation. Die Stadt, bekannt für ihre reiche Geschichte als Handelsmetropole, bietet heute eine vielfältige Mischung aus traditionellen Cafés und modernen Arbeitsräumen. Mit ihrer UNESCO-Weltkulturerbe-Wasserwirtschaft und der lebendigen Kulturszene schafft Augsburg eine inspirierende Atmosphäre für kreatives Arbeiten. Die zentrale Lage zwischen München und Ulm macht die Stadt zu einem attraktiven Standort für Remote-Worker und Digitalnomaden.",303150,0,NEW
braunschweig,Braunschweig,Germany,DE,NI,Niedersachsen,"Braunschweig verbindet Wissenschaft mit historischem Ambiente.","Braunschweig, die Löwenstadt, ist ein bedeutendes Zentrum für Wissenschaft und Forschung in Niedersachsen. Mit ihrer technischen Universität und zahlreichen Forschungseinrichtungen bietet die Stadt ein innovatives Umfeld für Remote-Arbeiter. Die historische Altstadt mit ihren gemütlichen Cafés und die moderne Infrastruktur schaffen eine perfekte Balance zwischen Tradition und Fortschritt. Die Stadt ist bekannt für ihre hohe Lebensqualität und bietet ausgezeichnete Bedingungen für konzentriertes Arbeiten in inspirierender Atmosphäre.",252066,0,NEW
chemnitz,Chemnitz,Germany,DE,SN,Sachsen,"Chemnitz vereint industrielles Erbe mit moderner Arbeitswelt.","Chemnitz, früher Karl-Marx-Stadt, hat sich zu einem modernen Technologie- und Wissenschaftsstandort entwickelt. Die Stadt verbindet ihr industrielles Erbe mit zeitgenössischer Kultur und Innovation. Mit ihren zahlreichen Cafés, Coworking-Spaces und der technischen Universität bietet Chemnitz eine produktive Umgebung für Remote-Arbeiter. Die Stadt, die 2025 Kulturhauptstadt Europas sein wird, zeichnet sich durch ihre erschwinglichen Lebenshaltungskosten und ihre zentrale Lage in Sachsen aus.",250681,0,NEW
darmstadt,Darmstadt,Germany,DE,HE,Hessen,"Darmstadt verbindet Wissenschaft und Digitalisierung.","Darmstadt, die Wissenschaftsstadt, ist ein führendes Zentrum für Technologie und Innovation in Hessen. Mit ihrer technischen Universität, zahlreichen Forschungseinrichtungen und einer lebendigen Startup-Szene bietet die Stadt ein ideales Umfeld für digitales Arbeiten. Die Stadt vereint historische Jugendstilarchitektur mit modernen Arbeitsmöglichkeiten und schafft so eine inspirierende Atmosphäre für Remote-Worker. Die Nähe zu Frankfurt und die ausgezeichnete Infrastruktur machen Darmstadt zu einem attraktiven Standort für die digitale Arbeitswelt.",164792,0,NEW
erfurt,Erfurt,Germany,DE,TH,Thüringen,"Erfurt verbindet mittelalterlichen Charme mit modernem Arbeiten.","Erfurt, die Landeshauptstadt Thüringens, besticht durch ihre perfekt erhaltene mittelalterliche Altstadt und moderne Infrastruktur. Die Stadt bietet mit ihrer historischen Krämerbrücke und den zahlreichen Cafés eine inspirierende Atmosphäre für Remote-Arbeiter. Als wichtiges Wirtschafts- und Bildungszentrum Thüringens vereint Erfurt traditionelles Handwerk mit zeitgenössischer Innovation. Die zentrale Lage in Deutschland und die ausgezeichnete Verkehrsanbindung machen die Stadt zu einem attraktiven Standort für digitale Nomaden.",215675,0,NEW
freiburg-im-breisgau,Freiburg im Breisgau,Germany,DE,BW,Baden-Württemberg,"Freiburg vereint Nachhaltigkeit mit innovativem Arbeiten.","Freiburg im Breisgau, die Ökohauptstadt Deutschlands, ist bekannt für ihre Vorreiterrolle in Nachhaltigkeit und Umweltschutz. Die Stadt bietet mit ihrer renommierten Universität und zahlreichen Forschungseinrichtungen ein inspirierendes Umfeld für Remote-Arbeiter. Die malerische Altstadt mit ihren gemütlichen Cafés und die Nähe zum Schwarzwald schaffen eine perfekte Balance zwischen Arbeit und Freizeit. Das milde Klima und die hohe Lebensqualität machen Freiburg zu einem beliebten Ziel für digitale Nomaden.",237244,0,NEW
gelsenkirchen,Gelsenkirchen,Germany,DE,NW,Nordrhein-Westfalen,"Gelsenkirchen wandelt sich vom Industriestandort zum modernen Arbeitsort.","Gelsenkirchen, einst Zentrum des Ruhrgebiets-Bergbaus, hat sich zu einer modernen Stadt mit vielfältigen Arbeitsmöglichkeiten entwickelt. Die Stadt bietet mit ihrer Wissenschaftspark und zahlreichen revitalisierten Industriedenkmälern eine einzigartige Atmosphäre für kreatives Arbeiten. Die günstigen Lebenshaltungskosten und die zentrale Lage im Ruhrgebiet machen Gelsenkirchen zu einem attraktiven Standort für Remote-Worker, die das Authentische suchen.",265885,0,NEW
goettingen,Göttingen,Germany,DE,NI,Niedersachsen,"Göttingen vereint akademische Tradition mit modernem Arbeiten.","Göttingen, die traditionsreiche Universitätsstadt, ist ein bedeutendes Zentrum für Wissenschaft und Forschung. Die Stadt bietet mit ihrer renommierten Georg-August-Universität und zahlreichen Forschungseinrichtungen ein inspirierendes Umfeld für Remote-Arbeiter. Die historische Altstadt mit ihren gemütlichen Cafés und die lebendige Studentenkultur schaffen eine produktive Atmosphäre für kreatives Arbeiten. Die zentrale Lage in Deutschland und die ausgezeichnete Infrastruktur machen Göttingen zu einem attraktiven Standort für digitale Nomaden.",120261,0,NEW
halle-saale,Halle (Saale),Germany,DE,ST,Sachsen-Anhalt,"Halle verbindet kulturelles Erbe mit digitalem Arbeiten.","Halle (Saale), die größte Stadt Sachsen-Anhalts, vereint reiches kulturelles Erbe mit moderner Innovation. Die Stadt bietet mit ihrer traditionsreichen Martin-Luther-Universität und dem aufstrebenden Digital-Hub ein dynamisches Umfeld für Remote-Arbeiter. Die historische Altstadt mit ihren zahlreichen Cafés und kulturellen Einrichtungen schafft eine inspirierende Atmosphäre für kreatives Arbeiten. Die günstigen Lebenshaltungskosten und die gute Verkehrsanbindung machen Halle zu einem attraktiven Standort für digitale Nomaden.",242172,0,NEW
heidelberg,Heidelberg,Germany,DE,BW,Baden-Württemberg,"Heidelberg vereint akademische Exzellenz mit romantischem Flair.","Heidelberg, die weltberühmte Universitätsstadt am Neckar, verbindet jahrhundertealte akademische Tradition mit moderner Wissenschaft. Die Stadt bietet mit ihrer renommierten Ruprecht-Karls-Universität und dem aufstrebenden Technologiepark ein inspirierendes Umfeld für Remote-Arbeiter. Die malerische Altstadt mit ihren historischen Cafés und die romantische Schlosskulisse schaffen eine einzigartige Atmosphäre für kreatives Arbeiten. Die hohe Lebensqualität und internationale Atmosphäre machen Heidelberg zu einem attraktiven Standort für digitale Nomaden.",162960,0,NEW
ingolstadt,Ingolstadt,Germany,DE,BY,Bayern,"Ingolstadt verbindet Automobilindustrie mit innovativem Arbeiten.","Ingolstadt, Hauptsitz von Audi und wichtiges Technologiezentrum, vereint industrielle Stärke mit moderner Innovation. Die Stadt bietet mit ihrer technischen Hochschule und zahlreichen Forschungseinrichtungen ein dynamisches Umfeld für Remote-Arbeiter. Die historische Altstadt mit ihren gemütlichen Cafés und die moderne Infrastruktur schaffen eine perfekte Balance zwischen Tradition und Fortschritt. Die hohe Lebensqualität und die zentrale Lage in Bayern machen Ingolstadt zu einem attraktiven Standort für digitale Professionals.",142308,0,NEW
jena,Jena,Germany,DE,TH,Thüringen,"Jena vereint Wissenschaft und Innovation mit Naturidylle.","Jena, die Stadt der Optik und Photonik, ist ein bedeutendes Zentrum für Wissenschaft und Technologie. Mit ihrer traditionsreichen Friedrich-Schiller-Universität und zahlreichen Forschungsinstituten bietet die Stadt ein inspirierendes Umfeld für Remote-Arbeiter. Die malerische Lage im Saaletal und die vielen Cafés schaffen eine produktive Atmosphäre für kreatives Arbeiten. Die Kombination aus Hightech-Industrie und naturnaher Umgebung macht Jena zu einem attraktiven Standort für digitale Nomaden.",110791,0,NEW
karlsruhe,Karlsruhe,Germany,DE,BW,Baden-Württemberg,"Karlsruhe verbindet Technologie mit fächerförmiger Stadtplanung.","Karlsruhe, die Fächerstadt, ist ein führendes Zentrum für Technologie und Innovation. Mit dem KIT (Karlsruher Institut für Technologie) und zahlreichen Forschungseinrichtungen bietet die Stadt ein dynamisches Umfeld für Remote-Arbeiter. Die einzigartige Stadtarchitektur und die vielen Cafés schaffen eine inspirierende Atmosphäre für kreatives Arbeiten. Die zentrale Lage in Europa und die hohe Lebensqualität machen Karlsruhe zu einem attraktiven Standort für digitale Professionals.",309964,0,NEW
kassel,Kassel,Germany,DE,HE,Hessen,"Kassel vereint Kunst und Kultur mit modernem Arbeiten.","Kassel, bekannt für die documenta und ihre reiche Kulturgeschichte, verbindet künstlerische Innovation mit moderner Arbeitswelt. Die Stadt bietet mit ihrer Universität und dem Wissenschaftspark ein inspirierendes Umfeld für Remote-Arbeiter. Die weitläufigen Parks und die lebendige Café-Szene schaffen eine produktive Atmosphäre für kreatives Arbeiten. Die zentrale Lage in Deutschland und die gute Infrastruktur machen Kassel zu einem attraktiven Standort für digitale Nomaden.",204687,0,NEW
kiel,Kiel,Germany,DE,SH,Schleswig-Holstein,"Kiel verbindet maritime Atmosphäre mit modernem Arbeiten.","Kiel, die Landeshauptstadt Schleswig-Holsteins, besticht durch ihre maritime Lage an der Ostsee. Die Stadt bietet mit ihrer Christian-Albrechts-Universität und dem aufstrebenden Technologiesektor ein dynamisches Umfeld für Remote-Arbeiter. Die Hafenpromenaden und gemütlichen Cafés schaffen eine inspirierende Atmosphäre für kreatives Arbeiten. Die hohe Lebensqualität und die Nähe zum Meer machen Kiel zu einem attraktiven Standort für digitale Nomaden.",248873,0,NEW
koblenz,Koblenz,Germany,DE,RP,Rheinland-Pfalz,"Koblenz vereint Rhein-Romantik mit modernem Arbeiten.","Koblenz, am Zusammenfluss von Rhein und Mosel gelegen, verbindet historisches Erbe mit zeitgemäßer Arbeitswelt. Die Stadt bietet mit ihrer Universität und dem aufstrebenden Wirtschaftsstandort ein inspirierendes Umfeld für Remote-Arbeiter. Die malerische Altstadt mit ihren Cafés und die Festung Ehrenbreitstein schaffen eine einzigartige Atmosphäre für kreatives Arbeiten. Die zentrale Lage im Rheinland und die hohe Lebensqualität machen Koblenz zu einem attraktiven Standort für digitale Nomaden.",115298,0,NEW
