name_en,state,country,population,slug,name_de,country_code,state_code,description_short_en,description_long_en
Oakland,California,United States,440646,oakland,Oakland,US,CA,"Oakland is known for its diverse culture and vibrant arts scene.","Oakland, a city in California, is known for its diverse culture and vibrant arts scene. It offers a variety of coworking spaces and cafes for digital nomads."
Minneapolis,Minnesota,United States,429954,minneapolis,Minneapolis,US,MN,"Minneapolis is known for its vibrant arts scene and diverse culture.","Minneapolis, a city in Minnesota, is known for its vibrant arts scene and diverse cultural scene. It provides numerous coworking spaces and cafes for professionals."
Tulsa,Oklahoma,United States,413066,tulsa,Tulsa,US,OK,"Tulsa is known for its rich cultural heritage and vibrant arts scene.","Tulsa, a city in Oklahoma, is known for its rich cultural heritage and vibrant arts scene. It offers a variety of coworking spaces and cafes for digital nomads."
Bakersfield,California,United States,403455,bakersfield,Bakersfield,US,CA,"Bakersfield is known for its agricultural industry and vibrant culture.","Bakersfield, a city in California, is known for its agricultural industry and vibrant cultural scene. It provides numerous coworking spaces and cafes for remote workers."
Wichita,Kansas,United States,397532,wichita,Wichita,US,KS,"Wichita is known for its aviation industry and vibrant culture.","Wichita, a city in Kansas, is known for its aviation industry and vibrant cultural scene. It offers a variety of coworking spaces and cafes for digital nomads."
Arlington,Texas,United States,394266,arlington,Arlington,US,TX,"Arlington is known for its sports events and vibrant culture.","Arlington, a city in Texas, is known for its sports events and vibrant cultural scene. It provides numerous coworking spaces and cafes for professionals."
Toronto,Ontario,Canada,5647656,toronto,Toronto,CA,ON,"Toronto is a major city in Canada known for its diverse culture and vibrant arts scene.","Toronto, the largest city in Canada, is known for its diverse culture and vibrant arts scene. It offers a variety of coworking spaces and cafes for digital nomads."
Montreal,Québec,Canada,3675219,montreal,Montreal,CA,QC,"Montreal is known for its vibrant arts scene and diverse culture.","Montreal, a city in Québec, is known for its vibrant arts scene and diverse cultural scene. It provides numerous coworking spaces and cafes for professionals."
Vancouver,British Columbia,Canada,2426160,vancouver,Vancouver,CA,BC,"Vancouver is known for its beautiful landscapes and vibrant culture.","Vancouver, a city in British Columbia, is known for its beautiful landscapes and vibrant cultural scene. It offers a variety of coworking spaces and cafes for digital nomads."
Calgary,Alberta,Canada,1305550,calgary,Calgary,CA,AB,"Calgary is known for its diverse economy and vibrant culture.","Calgary, a city in Alberta, is known for its diverse economy and vibrant cultural scene. It provides numerous coworking spaces and cafes for remote workers."
Edmonton,Alberta,Canada,1151635,edmonton,Edmonton,CA,AB,"Edmonton is known for its vibrant arts scene and diverse culture.","Edmonton, a city in Alberta, is known for its vibrant arts scene and diverse cultural scene. It offers a variety of coworking spaces and cafes for digital nomads."
Ottawa – Gatineau,Ontario,Canada,1068821,ottawa-gatineau,"Ottawa – Gatineau",CA,ON,"Ottawa – Gatineau is known for its historic landmarks and vibrant culture.","Ottawa – Gatineau, the capital region of Canada, is known for its historic landmarks and vibrant cultural scene. It provides numerous coworking spaces and cafes for professionals."
Winnipeg,Manitoba,Canada,758515,winnipeg,Winnipeg,CA,MB,"Winnipeg is known for its diverse economy and vibrant culture.","Winnipeg, a city in Manitoba, is known for its diverse economy and vibrant cultural scene. It offers a variety of coworking spaces and cafes for digital nomads."
Québec,Québec,Canada,733156,quebec,Québec,CA,QC,"Québec is known for its rich cultural heritage and vibrant arts scene.","Québec, a city in Québec, is known for its rich cultural heritage and vibrant arts scene. It provides numerous coworking spaces and cafes for remote workers."
Hamilton,Ontario,Canada,729560,hamilton,Hamilton,CA,ON,"Hamilton is known for its diverse economy and vibrant culture.","Hamilton, a city in Ontario, is known for its diverse economy and vibrant cultural scene. It offers a variety of coworking spaces and cafes for digital nomads."
Kitchener,Ontario,Canada,522888,kitchener,Kitchener,CA,ON,"Kitchener is known for its diverse economy and vibrant culture.","Kitchener, a city in Ontario, is known for its diverse economy and vibrant cultural scene. It provides numerous coworking spaces and cafes for professionals."
London,Ontario,Canada,423369,london,London,CA,ON,"London is known for its diverse economy and vibrant culture.","London, a city in Ontario, is known for its diverse economy and vibrant cultural scene. It offers a variety of coworking spaces and cafes for digital nomads."
Victoria,British Columbia,Canada,363222,victoria,Victoria,CA,BC,"Victoria is known for its beautiful landscapes and vibrant culture.","Victoria, a city in British Columbia, is known for its beautiful landscapes and vibrant cultural scene. It provides numerous coworking spaces and cafes for remote workers."
Halifax,Nova Scotia,Canada,348634,halifax,Halifax,CA,NS,"Halifax is known for its rich cultural heritage and vibrant arts scene.","Halifax, a city in Nova Scotia, is known for its rich cultural heritage and vibrant arts scene. It offers a variety of coworking spaces and cafes for digital nomads."
Oshawa,Ontario,Canada,335949,oshawa,Oshawa,CA,ON,"Oshawa is known for its diverse economy and vibrant culture.","Oshawa, a city in Ontario, is known for its diverse economy and vibrant cultural scene. It provides numerous coworking spaces and cafes for professionals."
Windsor,Ontario,Canada,306519,windsor,Windsor,CA,ON,"Windsor is known for its diverse economy and vibrant culture.","Windsor, a city in Ontario, is known for its diverse economy and vibrant cultural scene. It offers a variety of coworking spaces and cafes for digital nomads."
Saskatoon,Saskatchewan,Canada,264637,saskatoon,Saskatoon,CA,SK,"Saskatoon is known for its diverse economy and vibrant culture.","Saskatoon, a city in Saskatchewan, is known for its diverse economy and vibrant cultural scene. It provides numerous coworking spaces and cafes for remote workers."
Saint Catharines – Niagara,Ontario,Canada,242460,saint-catharines-niagara,"Saint Catharines – Niagara",CA,ON,"Saint Catharines – Niagara is known for its beautiful landscapes and vibrant culture.","Saint Catharines – Niagara, a city in Ontario, is known for its beautiful landscapes and vibrant cultural scene. It offers a variety of coworking spaces and cafes for digital nomads."
Regina,Saskatchewan,Canada,224996,regina,Regina,CA,SK,"Regina is known for its diverse economy and vibrant culture.","Regina, a city in Saskatchewan, is known for its diverse economy and vibrant cultural scene. It provides numerous coworking spaces and cafes for professionals."
Saint John's,Neufundland und Labrador,Canada,185565,saint-johns,"Saint John's",CA,NL,"Saint John's is known for its rich cultural heritage and vibrant arts scene.","Saint John's, a city in Newfoundland and Labrador, is known for its rich cultural heritage and vibrant arts scene. It offers a variety of coworking spaces and cafes for digital nomads."
Kelowna,British Columbia,Canada,181380,kelowna,Kelowna,CA,BC,"Kelowna is known for its beautiful landscapes and vibrant culture.","Kelowna, a city in British Columbia, is known for its beautiful landscapes and vibrant cultural scene. It provides numerous coworking spaces and cafes for remote workers."
Barrie,Ontario,Canada,154676,barrie,Barrie,CA,ON,"Barrie is known for its diverse economy and vibrant culture.","Barrie, a city in Ontario, is known for its diverse economy and vibrant cultural scene. It offers a variety of coworking spaces and cafes for digital nomads."
Sherbrooke,Québec,Canada,151157,sherbrooke,Sherbrooke,CA,QC,"Sherbrooke is known for its rich cultural heritage and vibrant arts scene.","Sherbrooke, a city in Québec, is known for its rich cultural heritage and vibrant arts scene. It provides numerous coworking spaces and cafes for professionals."
Guelph,Ontario,Canada,144356,guelph,Guelph,CA,ON,"Guelph is known for its diverse economy and vibrant culture.","Guelph, a city in Ontario, is known for its diverse economy and vibrant cultural scene. It offers a variety of coworking spaces and cafes for digital nomads."
Kanata,Ontario,Canada,137118,kanata,Kanata,CA,ON,"Kanata is known for its diverse economy and vibrant culture.","Kanata, a city in Ontario, is known for its diverse economy and vibrant cultural scene. It provides numerous coworking spaces and cafes for remote workers."
Abbotsford,British Columbia,Canada,132300,abbotsford,Abbotsford,CA,BC,"Abbotsford is known for its beautiful landscapes and vibrant culture.","Abbotsford, a city in British Columbia, is known for its beautiful landscapes and vibrant cultural scene. It offers a variety of coworking spaces and cafes for digital nomads."
Trois-Rivières,Québec,Canada,128057,trois-rivieres,"Trois-Rivières",CA,QC,"Trois-Rivières is known for its rich cultural heritage and vibrant arts scene.","Trois-Rivières, a city in Québec, is known for its rich cultural heritage and vibrant arts scene. It provides numerous coworking spaces and cafes for professionals."
Kingston,Ontario,Canada,127943,kingston,Kingston,CA,ON,"Kingston is known for its diverse economy and vibrant culture.","Kingston, a city in Ontario, is known for its diverse economy and vibrant cultural scene. It offers a variety of coworking spaces and cafes for digital nomads."
Milton,Ontario,Canada,124579,milton,Milton,CA,ON,"Milton is known for its diverse economy and vibrant culture.","Milton, a city in Ontario, is known for its diverse economy and vibrant cultural scene. It provides numerous coworking spaces and cafes for remote workers."
Moncton,New Brunswick,Canada,119785,moncton,Moncton,CA,NB,"Moncton is known for its diverse economy and vibrant culture.","Moncton, a city in New Brunswick, is known for its diverse economy and vibrant cultural scene. It offers a variety of coworking spaces and cafes for digital nomads."
White Rock,British Columbia,Canada,109167,white-rock,White Rock,CA,BC,"White Rock is known for its beautiful landscapes and vibrant culture.","White Rock, a city in British Columbia, is known for its beautiful landscapes and vibrant cultural scene. It provides numerous coworking spaces and cafes for professionals."
Nanaimo,British Columbia,Canada,106079,nanaimo,Nanaimo,CA,BC,"Nanaimo is known for its beautiful landscapes and vibrant culture.","Nanaimo, a city in British Columbia, is known for its beautiful landscapes and vibrant cultural scene. It offers a variety of coworking spaces and cafes for digital nomads."
Brantford,Ontario,Canada,104413,brantford,Brantford,CA,ON,"Brantford is known for its diverse economy and vibrant culture.","Brantford, a city in Ontario, is known for its diverse economy and vibrant cultural scene. It provides numerous coworking spaces and cafes for remote workers."
"Chicoutimi – Jonquière",Québec,Canada,103934,chicoutimi-jonquiere,"Chicoutimi – Jonquière",CA,QC,"Chicoutimi – Jonquière is known for its rich cultural heritage and vibrant arts scene.","Chicoutimi – Jonquière, a city in Québec, is known for its rich cultural heritage and vibrant arts scene. It offers a variety of coworking spaces and cafes for digital nomads."
"Saint-Jérôme",Québec,Canada,100859,saint-jerome,"Saint-Jérôme",CA,QC,"Saint-Jérôme is known for its rich cultural heritage and vibrant arts scene.","Saint-Jérôme, a city in Québec, is known for its rich cultural heritage and vibrant arts scene. It provides numerous coworking spaces and cafes for professionals."
Orlando, Florida,United States,325044,orlando,Orlando,US,FL,"Orlando is known for its theme parks and warm climate.","Orlando, a city in Florida, is known for its theme parks and warm climate. It provides a range of coworking spaces and cafes for digital nomads."
